,0,1,2,3,4,5,6,AVERAGE
51,0.0480294363,2.0917346562,0.9384615345,0.9538461459,0.9487179441,0.9487179441,0.9564102537,0.9492307645
52,0.0009456652,0.0213388866,0.9051282024,0.9461538394,0.9076923025,0.8897435879,0.9025640961,0.9102564057
53,0.0006593005,0.0003597117,0.8897435864,0.9128205043,0.8948717897,0.8641025653,0.8948717943,0.891282048
54,0.0003599455,81.5194523793,0.6948718092,0.6487179666,0.6974359086,0.6666666774,0.6897436029,0.6794871929
55,0.0002208228,10.1891585019,0.802564109,0.8666666685,0.8256410276,0.7974359049,0.8384615382,0.8261538496
56,0.0002183776,0.0198705366,0.8205128236,0.851282051,0.7871794976,0.8102564185,0.8384615343,0.821538465
57,5.1551129478,0.000687523,0.2307692352,0.2205128263,0.2307692365,0.2307692363,0.2307692355,0.228717954
58,6.8589806817,0.0001139866,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
59,0.0100092223,0.0018347411,0.9435897393,0.9666666587,0.938461536,0.9333333297,0.9358974328,0.9435897393
60,0.0038762286,2.1575458675,0.9230769215,0.9435897363,0.9102564026,0.9179487137,0.9102564087,0.9210256366
61,0.003406195,46.5620945334,0.9179487183,0.9282051264,0.923076917,0.9128205104,0.930769228,0.9225641
62,15.3467789869,0.116695617,0.2307692363,0.2307692354,0.2307692354,0.2307692363,0.2307692355,0.2307692358
63,21.4307348202,0.000373954,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692354,0.2307692358
64,0.0339824657,0.0029098005,0.9512820443,0.9717948697,0.9666666618,0.961538457,0.9692307665,0.9641025599
65,3.4688247093,0.0863879464,0.2307692363,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.230769236
66,0.0213302783,6.2825682116,0.9256410217,0.9358974298,0.9410256331,0.9358974298,0.9384615345,0.9353846098
67,0.3091673052,15.2336341203,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
68,10.915168697,0.1060518378,0.2307692352,0.2307692367,0.2307692365,0.2307692376,0.2307692355,0.2307692363
69,0.001207552,0.93602948,0.9051281963,0.9384615284,0.8999999976,0.8923076896,0.9051282008,0.9082051225
70,0.9791712524,0.0171422066,0.9512820458,0.8333333364,0.7282051413,0.5512820673,0.8256410257,0.7779487233
71,1.3641138286,90.7563593126,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
72,0.1820023112,0.0218231185,0.9128205104,0.930769225,0.9282051233,0.9051282039,0.9128205073,0.917948714
73,17.4927024332,18.2436033405,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
74,0.0009220024,21.2171288751,0.8948717927,0.9256410217,0.9076923056,0.9205128138,0.8974358929,0.9092307653
75,0.0008061053,2.6608151117,0.9051281993,0.9179487091,0.9128205104,0.8974358944,0.912820515,0.9092307656
76,0.5177373037,1.4679128041,0.4102564192,0.4615384722,0.4153846239,0.5025641144,0.4153846246,0.4410256509
77,0.0047032566,1.5980509369,0.9179487121,0.9538461474,0.9333333327,0.915384612,0.9282051233,0.9297435855
78,0.0001738999,0.000174488,0.7948718056,0.8128205217,0.7897435977,0.7666666768,0.7820512912,0.7892307786
79,0.3155845715,0.0001369353,0.6769230947,0.8410256436,0.9102564057,0.587179504,0.9205128123,0.7871794921
80,0.0053337298,1.0143967854,0.9102564072,0.9538461459,0.9128205104,0.9358974328,0.915384612,0.9256410217
81,4.1906258474,0.0182523514,0.2307692363,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.230769236
82,0.7337505296,1.5574578744,0.2307692363,0.2307692352,0.4205128296,0.4205128327,0.3948718036,0.3394871875
83,1.0799035129,37.133315097,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
84,0.0006205815,0.0015677223,0.8717948733,0.9333333251,0.892307688,0.8666666685,0.8923076896,0.8912820489
85,0.5145128575,45.630867812,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
86,17.8602472251,0.0828589847,0.2307692352,0.2307692367,0.2307692354,0.2307692376,0.2307692355,0.2307692361
87,0.0067871268,3.0052724038,0.9102564072,0.9564102506,0.9487179426,0.9410256361,0.9358974313,0.9384615336
88,0.0012638068,0.9647648815,0.907692304,0.9358974298,0.9205128168,0.9051282024,0.8999999991,0.9138461504
89,12.1646155884,11.5969930529,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
90,9.9575102939,7.1892651931,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
91,0.0003493988,1.6279388509,0.8846153831,0.8974358883,0.8564102558,0.8461538477,0.8615384621,0.8692307674
92,0.8411544707,1.1480976208,0.4230769313,0.4000000098,0.4179487263,0.4538461635,0.2307692355,0.3851282133
93,4.2725329719,35.861959441,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
94,36.5215671845,3.425271811,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
95,5.7750496,0.0050985787,0.2307692352,0.2307692354,0.2307692365,0.2307692376,0.2307692355,0.230769236
96,0.0867214527,0.0192679523,0.9512820458,0.9615384539,0.9435897408,0.9384615314,0.9641025586,0.9517948661
97,17.5329618895,0.0264438815,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
98,28.0801193318,3.1976176199,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
99,8.9014893159,0.0034168723,0.2307692352,0.2307692354,0.2307692365,0.2307692363,0.2307692355,0.2307692358
