,0,1,2,3,4,5,6,
25,0.0012130911,0.0003116867,0.5564102741,0.5717948862,0.5820512978,0.5564102733,0.5512820654,0.5635897594
26,13.8204551532,0.0098806345,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1282051311,0.1076923097
27,0.0025940713,61.6113306613,0.5179487352,0.5153846299,0.4897436011,0.4897436009,0.5871795057,0.5200000146
28,0.0013923536,0.1021404349,0.4974359068,0.5897436046,0.5820512993,0.5820512999,0.63846156,0.5779487341
29,0.0089448021,2.5630719367,0.641025664,0.7153846377,0.6461538627,0.6692307844,0.7256410382,0.6794871974
30,0.0001923319,0.0024480301,0.3948718044,0.4589743719,0.451282063,0.4282051378,0.4820512953,0.4430769345
31,0.001854721,0.0005922308,0.5846153998,0.628205145,0.6000000139,0.5769230918,0.6179487319,0.6015384765
32,0.0059813995,0.009110819,0.584615401,0.6256410384,0.6282051443,0.5974359165,0.6974359132,0.6266666827
33,0.0011502252,40.0626358273,0.4692307791,0.4692307844,0.4846153974,0.4871795,0.5230769395,0.4866666801
34,0.533853622,0.8015345477,0.1871794915,0.1692307723,0.3128205198,0.2717948783,0.1358974387,0.2153846201
35,0.1519637634,0.0285980103,0.8000000104,0.8512820571,0.8692307732,0.7769230879,0.9076922964,0.841025645
36,2.9082118409,0.001558632,0.1025641043,0.1025641041,0.1025641047,0.1564102601,0.1025641047,0.1133333356
37,0.0127790557,0.000782789,0.6948718138,0.7102564252,0.7102564245,0.6974359071,0.7564102633,0.7138461668
38,0.0008663126,0.000253868,0.5128205231,0.587179499,0.5307692469,0.541025659,0.5461538614,0.5435897579
39,0.0348576898,40.6889395137,0.6128205298,0.4205128314,0.4205128289,0.3820512889,0.4000000107,0.4471794979
40,14.9155860826,22.1032808074,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
41,0.0006065419,0.000294813,0.5179487306,0.5435897574,0.5538461663,0.530769245,0.5538461694,0.5400000137
42,13.9918294471,0.1956149625,0.1025641043,0.1282051305,0.1025641047,0.1025641041,0.1025641047,0.1076923097
43,10.1470462901,0.0016172731,0.1025641043,0.1025641041,0.1025641047,0.1025641041,0.1025641047,0.1025641044
